1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72
-4.7 -3.2 -0.3 -0.8 4.3 -5.2 -0.3 2 -3.8 3.3 3.4 4 -0.6 1.9 7.2 3.2 5.3 -0.2 6.6 -2 3.6 4.7 3.9 7.4 -2.1 9.1 2.8 -1.3 5.4 8.3 -0.2 2.2 12.3 2.8 1 4.7 3.8 5.4 1.8 -1 3.8 2.2 -0.8 -2 -2.4 -5.7 -4.2 0 -7 2 -5.7 -1.2 -0.5 -9.2 -0.4 -6.6 -3.8 -4.9 -1.3 -7.6 3.5 -7 -1.3 -7.1 -2.2 -2.4 -7.4 -4.5 -4 -0.9 1 -6.8
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72
-6.6 -2.7 -1.7 6.7 1.5 -8.1 -0.7 3.9 1.4 7.5 -1.6 6.6 3.4 2.8 5.1 7.1 5.1 5.1 1.9 1.5 8.5 1.8 4.7 6.8 1.4 9.2 3.9 5 3.9 5.2 3.1 1.6 9 4.1 0 3 3.2 3.7 4 -1 0.8 -0.1 2 -2.2 -2.6 -5.9 -0.8 -2.5 -6.8 -1.6 -6.6 -1.5 -3.6 -5.2 -5.2 -6.4 -3 -5.1 -1.6 -6.4 0.6 -8.7 -6.3 -5.5 -3.2 -1.7 -7.1 -7.1 -6 -9.2 6.3 -7.3
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72
-10.6 1.5 4 4 -5.9 -0.8 5.9 8.5 2 7.5 2.2 10.5 2.4 8.8 4.5 4.5 10.8 5.7 6.7 9.6 7.2 4.9 3 2.8 4.6 8.6 5.6 5.7 3.5 2.3 4.4 2.9 1.3 3.2 6.3 3.7 6.4 -2.2 4.1 0.5 -2 -0.8 0.2 -4.5 -1.1 -3.6 1.1 -6.8 -3 -7.6 -8.5 -2.8 -9.5 -0.9 -6.2 -3.2 -3.9 -7.2 0.1 -7.4 -9 -11 -5.5 -4.1 -10.2 -10.4 -5.9 -8.2 -3.1 -5.7 -6.7 -0.9
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72
-10.5 6 4.3 4.8 -9.4 3.7 8.2 5.4 4.4 4.9 9.7 5.6 4.1 12.3 7.6 6.9 6.5 8.5 15.9 9.2 8 4.5 2.5 7.1 5.9 6.8 7.9 9.1 3.2 3.4 1.6 4 -0.2 6.5 4.3 -0.6 6.7 -1.6 2 -0.6 -2.6 -0.7 1 -3.6 -2 -2.4 1.9 -10.2 -4.3 -9.5 -5.6 -6.7 -6.3 -2.9 -6.2 -6.2 -3.8 -5.8 -3.7 -11 -11.1 -12.7 -2.7 -12 -11.9 -12.3 -2.8 -10.4 -4.9 -4.9 -6.1 -1.6
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72
-1.1 9 7.3 -3.4 -1.1 4.5 4.9 8.6 3.2 4.4 2 1.1 11.1 4.2 4.2 1.2 5.6 6 1.3 3.9 2.9 5.2 3.5 3.8 5.9 0.1 7.2 1.7 4.3 6.1 1.8 0 8.1 -1 -0.3 -0.2 4.4 3.5 0.8 5.2 3.5 -0.1 -3.3 -1.7 -5.7 -2.9 -5.1 -3.1 -4.4 -5.8 -5.6 -2.8 -5.6 -3.4 -8.1 -5.5 -8.8 -1.8 -2.1 -8.5 -5.9 -6.1 -1.7 -9.8 -10 -1.5 -0.4 -1.8 -2.3 -6 -1.4 -10.9
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72
