1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
-17.4 -22.1 -25.3 -25.6 -26.4 -22.1 -27.3 -27.6 -25.6 -29.4 -26.1 -22.7 -18.7 -19.3 -17.4 -10.2 -7 -1.7 -1.9 4.7 2.7 6.3 11 14.9 22.3 20.2 29.3 32.1 30.8 36.2 44.5 44.3 46.5 58.8 61.6 62.6 67.3 71.1 76.5 78.3 77.3 81.1 83.3 82.5 80.5 78.1 72.4 68.2 68.2 61.2 63.2 57.5 56.3 55.8 46.6 46.2 39.6 35.8 30.9 29.6 22 25.5 18.5 17.2 10.1 7.9 5.5 -1.9 -6.4 -10.4 -11.3 -10.3 -17.1
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
-24.9 -31.5 -34.2 -35.9 -29.2 -27.7 -35.8 -36.5 -32.6 -31.2 -23.7 -25.3 -18.7 -15.3 -12.5 -7.4 -0.3 4.8 9.9 11.8 13.3 21.8 23.6 28.3 35.1 36.5 45.7 49.6 54.6 58.5 63.7 66.8 68.4 77.4 81.5 81.5 84.5 87.7 91.4 95.4 94.4 95.2 95.1 97.1 94.9 92.3 86.4 85.6 83.1 76.3 74.7 68.1 66.6 63 57.8 52.6 46.2 43.2 38.1 36.5 30.1 30.7 22 15.7 10.2 7 5.3 -1.8 -8.9 -14.9 -24.1 -17.8 -25.1
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
-21 -26.8 -29.7 -34 -30.7 -28.2 -35.7 -38.5 -34.9 -35 -28.9 -29.9 -23.7 -21.1 -19.1 -13.6 -6.6 -1.3 0.2 6.4 5 11.1 14.1 18.7 26.8 27.1 35.9 41.2 43.6 47.6 53.3 56.1 59.2 71.5 73.6 74.7 77.7 83.5 86.2 90.5 90.1 93 93.4 93.4 93.1 90.3 84 81 79.1 73.6 71.2 65.1 63.9 61.2 55.4 51.6 45.3 42 37.5 35.8 28.4 30.3 21.5 18 13.2 10.2 7.4 0.8 -4.7 -10 -15.6 -13.2 -20.6
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
-10.2 -16.8 -20.3 -20.3 -13.7 -14.5 -20.6 -23.4 -19.6 -16.4 -10.8 -12.5 -6.5 -4.8 -2.5 1.9 7.5 10.8 16.1 17.4 19 26.2 28.7 33.2 36.9 39.5 45.7 50 52 53.7 59.4 61.2 63.3 67.5 73.3 73.6 75.9 77.2 81.3 83.7 83.8 84.5 85.1 86.5 85.4 83.6 80.2 80 78.4 74.8 72 67 65.4 63.5 58.1 55.2 48.9 46.4 42.5 41.3 36.2 35.5 30 23.8 19.3 18 14.9 8.3 3.3 -2 -10.7 -4.4 -10.7
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
-32.4 -41 -44.1 -47.1 -40.1 -37.4 -45.4 -46.5 -42.7 -42.1 -34.6 -35.8 -29.1 -25.1 -21.2 -15.2 -7.6 -2.1 2.8 5.3 6.6 15 17.3 22.5 30.6 33.5 42.7 47.7 49.8 55.2 60.7 62.9 65.7 77.4 81.4 80.4 82.9 87.6 90.8 94.6 93.3 96.6 96.1 96 94.6 91.1 84.7 83.2 80.8 74.6 72.2 66 64.1 61.5 56 50.3 44.4 40.5 35.1 34.1 27.9 27.8 18.7 13.2 7.2 3 0.9 -7.2 -14.6 -20.2 -28.6 -25 -32.4
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
